open_rank,name,conemass_union,conemass_guaranteed,direct_dependents,transitive_dependents,chain_depth,title
16,WeakGoldbach.symmetric_pair_count_pos_above_2e18,1.0391,0.8864,1,10,8,Positive count of symmetric prime offsets around $m > 2\cdot 10^{18}$
17,RamareSaouter2003.has_prime_in_interval,1.0000,1.0000,1,1,1,Ramaré–Saouter 2003 exact short-prime interval
18,green_tao_theorem,1.0000,1.0000,1,1,1,Green–Tao theorem: the primes contain $k$-term arithmetic progressions
19,RybinAI2026.P01.crossIntegral_normalized_sum_le_one,0.9867,0.9867,2,9,6,Normalised mixed-integral bound $K_A/I_A+K_B/I_B\le 1$
20,OddPerfectNumber.no_dris_five_s_odd_ge_five,0.9751,0.9751,1,5,5,Dris-index case s >= 5 with s odd is impossible
21,momentAngle_topSummand_allDegrees_homology,0.9506,0.9506,1,5,5,Top splitting summand in all positive degrees
22,SymplecticFreeModules.canonical_invariant_submodule_dichotomy,0.9286,0.9286,1,4,4,Canonical invariant-submodule dichotomy
23,WeakGoldbach.verified_two_primes_4e14_to_4e18,0.8994,0.6698,1,11,8,"Verified binary Goldbach range $(4\cdot 10^{14},\, 4\cdot 10^{18}]$"
24,syracuse_descent_residual_seven_mod32_mod128,0.8701,0.7719,1,10,7,"Syracuse descent for residues 39, 71, and 103 modulo 128"
25,OddPerfectNumber.no_dris_thirteen_s_ge_two_not_even,0.8656,0.8656,1,5,5,Dris-index case s ge 2 with s not even is impossible for k >= 13
26,OddPerfectNumber.no_dris_nine_s_ge_two_not_even,0.8323,0.8323,1,5,5,Dris-index case s ge 2 with s not even is impossible for k = 9
27,ErdosStraus242.hard_core_840_after_mod11_mod19_mod23_mod31_mod43,0.8250,0.8250,1,5,5,"Remaining modulo-840 prime cases after the mod-11, mod-19, mod-23, mod-31 and mod-43 sieves"
28,WhitneyEmbedding.exists_uniform_dim_immersion_on_compacts,0.7667,0.7909,1,4,4,Immersions of compact subsets with a uniform target dimension
29,diophantine_quintuple_fujita_regular,0.7550,0.7550,2,4,4,"Fujita regularity of {a,b,c,d} (explicit d_+ equation)"
30,HarmonicBuilding.constantOnOpenImpliesConstant,0.7194,0.7382,1,5,5,Unique continuation: locally constant forces globally constant
31,WeakGoldbach.symmetric_prime_pair_above_2e18,0.7058,0.5531,1,9,7,Symmetric prime pairs around $m$ for $m > 2\cdot 10^{18}$
32,SymplecticFreeModules.exceptional_artinian_chain_stabilizes,0.7024,0.7024,1,3,3,Exceptional Artinian chain stabilization
33,MomentAngleSurgery.exists_neighborly_twoComplex_cokernel,0.7006,0.7006,1,5,5,A neighbourly two-complex in a four-sphere with the surgery presentation
34,WeakGoldbach.verified_two_primes_to_4e18,0.6994,0.4698,2,10,7,Verified binary Goldbach range through $4\times 10^{18}$
35,syracuse_descent_residual_fifteen_mod16_mod4096,0.6923,0.5941,1,10,7,Residual Syracuse descent inside $n \equiv 15 \pmod{16}$ modulo $4096$
36,syracuse_descent_residual_twentyseven_mod32_mod4096,0.6923,0.5941,1,10,7,Residual Syracuse descent inside $n \equiv 27 \pmod{32}$ modulo $4096$
37,CollapsibleCubics.exists_split_product_mod_depressed_cubic_of_not_normForm_repr,0.6762,0.6762,1,3,3,A split representative modulo an obstructed depressed cubic
38,RybinAI2026.P01.crossIntegral_sum_le_max,0.6534,0.6534,1,7,5,"Mixed integrals sum to at most $\max\{d(A,C),d(B,D)\}$"
39,WeakGoldbach.three_odd_primes_10pow27_to_exp3100,0.6527,0.5000,1,5,4,All-odd ternary Goldbach for $10^{27} \le n < e^{3100}$
40,WeakGoldbach.three_odd_primes_ge_exp3100,0.6527,0.5000,1,5,4,All-odd ternary Goldbach for $n \ge e^{3100}$
41,Leopoldt.rank_oneUnits_le_finrank,0.6342,0.6434,1,5,5,$\operatorname{rank}_{\mathbb{Z}_p} \prod_{\mathfrak{p} \mid p} U_1(\mathbb{F}_\mathfrak{p}) \le [\mathbb{F} : \mathbb{Q}]$
42,Gilbreath.zero_two_blocks,0.6111,0.6111,1,3,3,The rows of the Gilbreath triangle carry long initial blocks of $0$s and $2$s
43,RybinAI2026.P16.base_five_partial_hadamards,0.6005,0.5417,1,4,4,Base five-family construction for the dimension-six MUB frontier
44,RybinAI2026.P16.extend_five_to_six_partial_hadamards,0.6005,0.5417,1,4,4,Extension step for the dimension-six MUB frontier
45,diophantine_quintuple_not_b_le_3a_of_2a_le,0.5883,0.5883,1,4,4,No ordered Diophantine quintuple has 2a at most b at most 3a
46,diophantine_quintuple_not_b_lt_2a,0.5883,0.5883,1,4,4,No ordered Diophantine quintuple has b below 2a
47,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_free_pi_im_algebraic,0.5863,0.7867,1,5,5,"Irrational angle, no period translate but $\pi\,\Im u$ algebraic"
48,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_free_pi_im_transcendental,0.5863,0.7867,1,5,5,"Irrational angle, $\pi\,\Im u\notin\overline{\mathbb Q}+\pi^{2}\mathbb Q$: the residual"
49,OddPerfectNumber.k_one_diophantine_m_ge_two,0.5739,0.5739,1,4,4,The k = 1 divisor-sum equation is impossible for m >= 2
50,Erdos9796Mission.critical_cover_card_le_nine_of_tight_center,0.5637,0.5637,1,5,5,Critical-radius cover bound from a tight center
51,flt_ribet_contradiction,0.5553,0.7000,1,14,12,
52,FiniteMagmaE677.cross_boundary_collision_propagates_to_left_successor,0.5540,0.5540,1,4,4,A cross-boundary right-translation collision propagates to the next point of the left orbit
53,zeta_ne_zero_of_strip_of_five_lt_im,0.5519,0.5519,1,4,4,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ in the upper strip $\operatorname{Im} s>5$
54,Erdos390.eventual_three_family_disjoint_residual_exists,0.5442,0.3429,1,6,6,Theorem 10.3 — Eventual pairwise disjoint three-family residual existence
55,DiazModulus.norm_transcendental_of_generic_conj_pair,0.5359,0.9713,1,7,5,Transcendence of the modulus of a generic conjugate pair of logarithms
56,momentAngle_neighborlyTwoComplex_h1_selfLoopHomology,0.5339,0.5339,1,4,4,First homology of a neighbourly $2$-complex $|K|$ embeds in $H_{s+1}(\\Omega\\mathcal Z_K)$
57,WeakGoldbach.even_goldbach_to_4e18,0.5327,0.3031,4,9,6,Finite binary Goldbach verification through $4\cdot10^{18}$
58,RybinAI2026.P01.matrix_integral_inequality_integer_gram_noncollinear,0.5284,0.5284,2,6,4,Integer Gram inequality with overlapping spectra and noncollinear differences
59,Beal.primitive_reduced_exponents,0.5000,0.5000,1,1,1,Beal conjecture for ordered exponents $4$ or odd primes
60,Conway99.conway_99_adjacency_matrix_exists,0.5000,0.0000,1,1,1,Adjacency-matrix form of Conway's 99-graph problem: $A^2+A=12I+2J$
61,Conway99.conway_99_triangle_system_exists,0.5000,0.0000,1,1,1,"Line-system form of Conway's 99-graph problem: $99$ points, $231$ lines of size $3$"
62,KAMMainCorrected.finiteStagePersistenceData,0.5000,0.5000,1,1,1,Finite-stage KAM exclusions and persistence on the common survivor
63,Tunnell.even_count_implies_curve_point,0.5000,0.5000,1,1,1,Tunnell even count identity yields a nonzero rational curve point
64,Tunnell.odd_count_implies_curve_point,0.5000,0.5000,1,1,1,Tunnell odd count identity yields a nonzero rational curve point
65,WeylHeisenbergSIC.fiducial_exists,0.5000,0.5000,1,1,1,Weyl-Heisenberg SIC fiducial existence in every positive dimension
66,polignac_conjecture,0.5000,0.5000,1,1,1,
67,mme_entropy_regional_boundary_match,0.4941,0.4818,1,6,6,Boundary data with dimensions 25 matching a given step output
68,ErdosStraus242.hard_core_840_after_mod11_mod19_mod23_mod31,0.4917,0.4917,1,4,4,"Remaining modulo-840 prime cases after the mod-11, mod-19, mod-23 and mod-31 sieves"
69,TaoFivePrimes.mesoscopic_L2_source,0.4917,0.4755,1,5,5,Mesoscopic L2 estimate for the five-primes cutoff
70,BookSixth.crossing_free_subset_edge_bound,0.4813,0.4813,1,3,3,Planar edge bound for a crossing-free subset of a good drawing
71,bp_frey_package_yields_newform_level_2,0.4803,0.3929,1,13,9,
72,OddPerfectNumber.no_dris_five_s_ge_two_not_even,0.4751,0.4751,1,4,4,Dris-index case s ge 2 with s not even is impossible
73,TaoFivePrimes.strongly_major_arc_prime_sums_to_cutoff_model,0.4718,0.5449,1,5,4,Corrected verified-RH transfer on the strongly major arc
74,TaoFivePrimes.norm_S0_le_weakly_major_5e6,0.4650,0.4191,1,6,5,Weakly-major-arc bound for the smoothed prime sum
75,Leopoldt.galois_totallyReal_injection,0.4636,0.4728,1,3,3,Continuous unit injection for totally real Galois fields
76,syracuse_minimal_period_ge_seventeen_eq_one,0.4583,0.3958,1,5,5,Exclude nontrivial Syracuse cycles of least period at least seventeen
77,WeakGoldbach.even_goldbach_above_4e18,0.4558,0.3031,3,8,6,Even Goldbach above the verified range $4\cdot 10^{18}$
78,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_aligned_norm_free,0.4530,0.0000,1,5,5,"Period-aligned, norm not a rational multiple of the aligned datum: the residual half"
79,DiazModulus.recip_pi_not_log,0.4530,0.0000,1,5,5,No algebraic multiple of $1/(i\pi)$ is a logarithm of an algebraic number
80,HarmonicBuilding.firstVariationOfEnergyAndMoment,0.4511,0.0000,1,5,5,First variation of the boundary moment and the energy of a harmonic map
81,HarmonicBuilding.weakFirstVariationData,0.4511,0.0000,1,5,5,Almost-everywhere energy and moment variation for building-valued harmonic maps
82,momentAngle_h1_selfComplex_topSummand,0.4506,0.4506,1,4,4,First homology of $|K|$ embeds in $H_{s+2}(\\mathcal Z_K)$
83,TaoFivePrimes.S1_major_arc_L2_mass_corollary49_limit,0.4417,0.0000,1,5,5,Corollary 4.9 central-arc mass for the Section 8 cutoff
84,TaoFivePrimes.S1_major_arc_L2_mass_corollary49_raw,0.4417,0.0000,1,5,5,Tao Corollary 4.9: normalized raw major-arc mass estimate
85,KServer.workFnU_growth_sharp_finite_subspaces,0.4394,0.4394,1,5,5,Sharp work-function growth uniformly over finite subspaces (open)
86,WeakGoldbach.prime_ladder_to_8875e30,0.4342,0.2500,2,5,5,Helfgott–Platt prime-ladder certificate through $8.875\times10^{30}$
87,WhitneyEmbedding.finite_injective_immersion_from_separating_family,0.4333,0.4576,1,3,3,Finite injective immersion from a separating family
88,SymplecticFreeModules.canonicalShenLarssonSimplicity,0.4286,0.4286,1,3,3,Simplicity of the canonical Shen–Larsson action at nonexceptional parameters
89,BSD.birch_swinnerton_dyer_of_analyticOrderAt_le_one,0.4167,0.3333,2,2,2,"Gross–Zagier–Kolyvagin: if $\operatorname{ord}_{s=1} L(E,s) \le 1$ then it equals the rank of $E(\mathbb{Q})$"
90,BSD.birch_swinnerton_dyer_of_two_le_analyticOrderAt,0.4167,0.3333,2,2,2,"Birch and Swinnerton-Dyer in analytic rank $\ge 2$: if $\operatorname{ord}_{s=1} L(E,s) \ge 2$ then it equals the rank of $E(\mathbb{Q})$"
91,TaoFivePrimes.smoothedExpSum_dirichlet_bound_005,0.4079,0.4191,1,6,5,Dirichlet-regime bound for the smoothed prime sum
92,WeakGoldbach.verified_two_odd_primes_to_4e18,0.4027,0.2500,1,5,4,"Verified odd-prime binary Goldbach range $[6,\, 4\cdot 10^{18}]$"
93,mme_more_asymmetry_cofinal_forward_fields_stage_rate_certificate_v3,0.3937,0.3587,1,7,6,More Asymmetry cofinal stage/rate certificate with forward assembly fields (parenthesized)
94,Leopoldt.exists_continuous_injective_unitClosure_of_mem_iInf,0.3842,0.3934,1,4,4,"Rank of the $p$-adic closure of $\varphi(\bar{E}(\mathbb{F}))\cdot\langle h_1,\dots,h_m\rangle$ is at most $\mathbb{Z}_p\text{-rk}\,\bar{E}(\mathbb{F}) + m$"
95,Leopoldt.le_finrank_of_continuous_injective_semilocalUnits,0.3842,0.3934,1,4,4,The $\mathbb{Z}_p$-rank of the semilocal units $U_p(\mathbb{F})$ is at most $[\mathbb{F} : \mathbb{Q}]$
96,ReservoirSAS.monomial_sas_realization,0.3750,0.3750,1,2,2,Exact contracting SAS realization of one history monomial
97,goldbach_large,0.3725,0.2198,1,7,5,Goldbach's Conjecture for $n \ge 30$
98,syracuse_descent_seven_mod_thirtytwo,0.3701,0.2719,1,9,6,Syracuse descent for $n \equiv 7 \pmod{32}$
99,SymplecticFreeModules.irreducible_off_exceptional,0.3690,0.3690,1,2,2,Generic simplicity outside the exceptional parameters
100,SymplecticFreeModules.not_simple_on_exceptional,0.3690,0.3690,1,2,2,Nonsimplicity at exceptional parameters
101,Erdos390.eventual_guarded_fractional_bank_data_exists,0.3680,0.0000,1,5,5,Eventual joint guarded fractional certificate and universal bank
102,momentAngle_exists_neighborly_twoComplex_subcomplex_blocks,0.3673,0.3673,1,4,4,Uniform torsion blocks in a neighbourly two-complex inside a simplicial $4$-sphere
103,OddPerfectNumber.no_dris_thirteen_s_ge_two,0.3656,0.3656,1,4,4,Dris-index case k >= 13 with s >= 2 is impossible
104,BookSixth.latin_bounds,0.3646,0.3646,2,2,2,"Chapter 37, Theorem 2: Latin square count"
105,CannonFloydParry.mem_closure_mapA_mapB_of_standardDyadicPartition,0.3611,0.3611,1,2,2,A map given by a pair of standard dyadic partitions is a word in $A$ and $B$
106,syracuse_descent_fifteen_mod_sixteen,0.3590,0.2608,1,9,6,Syracuse descent for $n \equiv 15 \pmod{16}$
107,syracuse_descent_twentyseven_mod_thirtytwo,0.3590,0.2608,1,9,6,Syracuse descent for $n \equiv 27 \pmod{32}$
108,flt_wiles_coprime,0.3553,0.3667,1,13,11,
109,FiniteMagmaE677.orbit_right_collision_or_fixer,0.3540,0.3540,2,3,3,An orbit right-collision forces a fixer
110,FiniteMagmaE677.unique_left_orbit_complement_collision_gives_fixer,0.3540,0.3540,1,3,3,A right-translation collision across a one-element left-orbit complement gives a fixer
111,RybinAI2026.P16.six_unbiased_partial_hadamards,0.3505,0.2917,1,3,3,Six mutually unbiased partial Hadamard matrices with five columns
112,EulerMascheroni.Arithmetic.gompertz_prime_local_bounds_conjecture,0.3486,0.3909,1,6,6,Conjectural prime-local denominator bounds at Gompertz factorial endpoints
113,Erdos390.eventual_guarded_four_family_assembly,0.3442,0.1429,1,5,5,Theorem 10.3 — Guarded four-family joint upper product assembly
114,markov_brothers_integer_grid_v2,0.3429,0.0000,1,4,4,
115,CollapsibleCubics.depressed_cubic_collapsible_of_not_normForm_repr,0.3429,0.3429,1,2,2,Collapsibility of depressed cubics beyond the norm-form case
116,HorizontalPadicL.ellipticCurve_minimalModularLevel_iff_localEulerFactorDegree_lt_two,0.3389,0.3391,1,3,3,The minimal modular level detects subquadratic local Euler factors
117,TaoFivePrimes.rosser_psi_finite_middle,0.3383,0.3250,1,3,3,Finite Rosser bound between 1000 and 10^8
118,TaoFivePrimes.schoenfeld_psi_error_large,0.3383,0.3250,1,3,3,Explicit two-sided Chebyshev error above 10^8
119,BSD.modularity_implies_analytic_continuation,0.3333,0.2500,1,2,2,Modularity of an elliptic curve implies analytic continuation of its L-function
120,BSD.modularity_of_elliptic_curve,0.3333,0.2500,1,2,2,"Every elliptic curve over $\mathbb{Q}$ is modular (Wiles, Taylor-Wiles, Breuil-Conrad-Diamond-Taylor)"
121,Erdos390.eventual_three_family_residual_exists,0.3333,0.3333,1,1,1,Theorem 10.3 — Eventual existence of three-family residual partition
122,Erdos81.dense_chordal_clique_partition,0.3333,0.3333,1,1,1,Dense regime of Erdős Problem 81
123,Hadamard.odd_multiplier_exists,0.3333,0.3333,1,1,1,Hadamard matrices of order $4k$ for odd $k$
124,RybinAI2026.P13.exponential_boundary_elementary_abel_solution,0.3333,0.3333,1,1,1,An elementary expression for a nonnegative exponential-boundary Abel solution
125,OddPerfectNumber.no_dris_nine_s_ge_two,0.3323,0.3323,1,4,4,Dris-index case k = 9 with s >= 2 is impossible
126,Chou.isFinitelyPresented_of_isFinitelyPresented_of_finite_quotient,0.3270,0.3270,3,3,2,An extension of a finitely presented group by a finite group is finitely presented
127,Chou.isFinitelyPresented_of_isNilpotent_of_fg,0.3270,0.3270,3,3,2,Finitely generated nilpotent groups are finitely presented (external)
128,Hairer.reconstruction_existence_pointwise_nonpos,0.3250,0.3250,1,2,2,Existence of the reconstruction of a modelled distribution for $\alpha<\gamma\le 0$
129,Hairer.reconstruction_existence_pointwise_pos,0.3250,0.3250,1,2,2,Existence of the reconstruction of a modelled distribution for $\gamma>0$
130,OddPerfectNumber.k_one_sigma_diophantine,0.3239,0.3239,1,3,3,The special-exponent-one divisor-sum equation is impossible
131,WeightedRootIntegralIdentity.weighted_geometric_mean_cauchy_boundary_integral,0.3095,0.3095,2,4,3,Cauchy boundary-integral form of the weighted geometric mean
132,WeightedRootIntegralIdentity.weighted_root_keyhole_contour_boundary_balance,0.3095,0.3095,1,4,2,Cauchy boundary balance for the weighted-root keyhole contour
133,WeightedRootIntegralIdentity.weighted_root_keyhole_contour_identity,0.3095,0.3095,1,4,1,Keyhole-contour identity for a weighted root product
134,TaoFivePrimes.strongly_major_arc_discrete_to_cutoff_model,0.3052,0.3449,2,4,3,Strongly major arc: reduction to the cutoff convolution
135,zeta_ne_zero_of_strip_of_two_lt_im,0.3019,0.3019,1,3,3,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ in the upper strip $\operatorname{Im} s>2$
136,goldbach,0.2955,0.1429,3,6,4,
137,ErdosStraus242.hard_core_840_after_mod11_mod19_mod23,0.2917,0.2917,1,3,3,"Remaining modulo-840 prime cases after the modulo 11, 19 and 23 sieves"
138,DiazModulus.diaz_of_exp_real_generic,0.2859,0.7213,2,6,4,The generic real case: both parts of u non-zero
139,BSD.exists_cuspForm_qCoeff_eq_lFunction,0.2833,0.2000,1,2,2,"Modularity theorem, coefficient form: $a_n(f) = a_n(E)$ for a weight-two normalized eigenform $f$"
140,BSD.lSeriesSummable,0.2833,0.2000,1,2,2,Convergence of the Hasse–Weil L-series of an elliptic curve over $\mathbb{Q}$ for $\operatorname{Re} s > 3/2$ (Hasse)
141,CuspForm.exists_differentiable_eq_lSeries_qCoeff,0.2833,0.2000,1,2,2,Hecke: the L-series of a weight-two cusp form on $\Gamma_0(N)$ extends to an entire function
142,Gilbreath.second_column,0.2778,0.2778,1,2,2,The second column of the Gilbreath triangle is bounded by $2$
143,WhitneyEmbedding.exists_proper_self_transverse_immersion,0.2667,0.0000,1,2,2,General position: a proper self-transverse immersion in $\mathbb{R}^{2n}$
144,WhitneyEmbedding.injective_immersion_of_self_transverse_immersion,0.2667,0.0000,1,2,2,"Whitney trick: removing the double points of a self-transverse immersion, $n \ge 3$"
145,WhitneyEmbedding.strong_embedding_low_dimensions,0.2667,0.0000,1,2,2,Strong Whitney embedding in dimensions $n \le 2$
146,TaoFivePrimes.minor_arc_Linfty_dirichlet,0.2650,0.2191,1,5,4,"(8.18), Dirichlet regime: $KT_0/(4\pi x) < \|\alpha\| < 32/N_0$"
147,TaoFivePrimes.minor_arc_Linfty_weakly_major,0.2650,0.2191,1,5,4,"(8.18), weakly major regime: $T_0/(3.6\pi x) < \|\alpha\| \le KT_0/(4\pi x)$"
148,collatz_descent_fifteen_mod_sixteen,0.2590,0.1608,1,8,5,Collatz descent for $n \equiv 15 \pmod{16}$
149,collatz_descent_seven_mod_thirtytwo,0.2590,0.1608,1,8,5,Collatz descent for $n \equiv 7 \pmod{32}$
150,collatz_descent_twentyseven_mod_thirtytwo,0.2590,0.1608,1,8,5,Collatz descent for $n \equiv 27 \pmod{32}$
151,diophantine_quadruple_extension_criterion,0.2550,0.2550,1,3,3,Fujita-Miyazaki extension criterion (per-case thresholds)
152,diophantine_quintuple_abde_irregular,0.2550,0.2550,1,3,3,"Irregularity of {a,b,d,e} in a quintuple"
153,diophantine_quintuple_b_gt_3a,0.2550,0.2550,1,3,3,Quintuple gap b > 3a (Cipu-Filipin-Fujita)
154,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_aligned,0.2530,0.4534,1,4,4,"Irrational angle, period-aligned: a rational multiple of u has a two-point algebraic fibre"
155,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_free,0.2530,0.4534,1,4,4,"Irrational angle, period-free: every exponential fibre meets the locus once"
156,ArithmeticE.algebraic_e_combination_zero_singularity,0.2529,0.1250,3,6,6,Arithmetic zero-singularity theorem for algebraic combinations of rational E-series
157,HarmonicBuilding.orderAtLeastOne,0.2511,0.4604,1,4,4,The order gap: a nonconstant harmonic map has order at least one
158,HarmonicBuilding.surfaceFrequencyMonotoneOn,0.2511,0.4604,1,4,4,Almgren monotonicity of the frequency
159,Erdos287.mixed_gap_core,0.2500,0.2500,1,1,1,Residual core of Erdős #287: no gap-$\le 2$ representation of $1$ with two unit gaps
160,TaoFivePrimes.S1_major_arc_L2_mass_626,0.2417,0.2255,1,4,4,Correctly normalized eta₁ mass on the strongly major arc
161,TaoFivePrimes.minor_arc_L2_full_circle_8001,0.2417,0.2255,1,4,4,Full-circle mesoscopic L² bound for eta₁
162,Leopoldt.zpRankBelow_unitClosure_le_add_of_finiteIndex,0.2414,0.2505,1,3,3,The $\mathbb{Z}_p$-rank of the $p$-adic closure of the units grows by at most the number of new unit generators
163,BanditAlgorithm.linear_bandit_unit_ball_stopped_loss_change_of_measure,0.2361,0.0000,1,2,2,Stopped loss change of measure for the unit-ball linear bandit
164,WhitneyEmbedding.finite_injective_immersion,0.2333,0.2576,1,2,2,Finite-dimensional injective immersion for a noncompact manifold
165,BookSixth.drawing_sampling_bound,0.2313,0.2313,1,2,2,Vertex-sampling inequality for a good plane drawing
166,Erdos9796Mission.critical_radius_cover_card_le_nine,0.2304,0.2304,1,4,4,Open geometric core: critical-radius cover has at most nine vertices
167,bp_no_frey_package,0.2303,0.1429,1,12,8,
168,OddPerfectNumber.no_dris_special_exponent_five_s_ge_two,0.2251,0.2251,1,3,3,No Dris-index solution for the Euler equation with special exponent $k = 5$ and $s \ge 2$
169,HarmonicBuilding.constantOnBallImpliesConstant,0.2194,0.2382,1,4,4,A harmonic map constant on a disc is constant on the domain
170,HarmonicBuilding.isPlanarKSHarmonicAt_minimizes_on_small_balls,0.2194,0.2382,1,4,4,An energy minimizer at one radius minimizes at every smaller radius
171,RybinAI2026.P01.matrix_integral_inequality_integer_gram_overlapping_spectra,0.2173,0.2173,1,3,3,Integer Gram inequality with overlapping relative spectral intervals
172,Hirsch.common_face_diameter_of_dim_ge_six,0.2171,0.2171,1,9,9,Polynomial diameter of common faces of dimension at least six
173,EulerMascheroni.Mixed.decaying_algebraic_mixed_quotient_conjecture,0.2161,0.2167,1,4,4,Conjectural arithmetic quotient for the local mixed E-value relation
174,flt_wiles,0.2124,0.1667,1,12,10,
175,collatz_descent_three_mod_four,0.2114,0.1132,1,7,4,Collatz descent for $n \equiv 3 \pmod 4$
176,FiniteMagmaE677.two_left_orbit_complement_elements_escape_gives_fixer,0.2111,0.2111,1,2,2,Right-translation escape with two elements outside the left orbit gives a fixer
177,FiniteMagmaE677.unique_left_orbit_complement_escape_gives_fixer,0.2111,0.2111,1,2,2,Right-translation escape with one element outside the left orbit gives a fixer
178,SymplecticFreeModules.exceptionalArtinian,0.2024,0.2024,1,2,2,Exceptional symplectic polynomial modules are Artinian
179,Chou.fg_of_isFinitelyPresented_quotient,0.2020,0.2020,2,2,2,"Milnor's lemma, Chou's form: finitely presented quotients of exponentially bounded groups have finitely generated kernels (external)"
180,Chou.hall_finite_subgroups_of_index,0.2020,0.2020,1,2,2,M. Hall: a finitely generated group has finitely many subgroups of each index (external)
181,Chou.milnor_wolf,0.2020,0.2020,1,2,2,Milnor–Wolf: exponentially bounded solvable groups are almost nilpotent (external)
182,Erdos390.eventual_guarded_central_residual_split,0.2013,0.0000,2,4,4,Theorem 10.3 — Guarded central and residual split of complement product
183,momentAngle_exists_full_neighborly_twoComplex_blocks,0.2006,0.2006,1,3,3,Uniform torsion blocks in a full neighbourly two-complex inside a simplicial $4$-sphere
184,momentAngle_fullNeighborlyTwoComplex_h1_loopHomology,0.2006,0.2006,1,3,3,First homology of a full neighbourly two-complex embeds in loop homology
185,momentAngle_fullSubcomplex_h1_homology,0.2006,0.2006,1,3,3,First homology of a full subcomplex embeds in moment-angle homology
186,LeanEval.Geometry.SpaceGroupsProblem.space_groups_OP_classification,0.2000,0.2000,1,1,1,A complete irredundant list of the $230$ space-group types
187,LeanEval.Geometry.SpaceGroupsProblem.space_groups_affine_classification,0.2000,0.2000,1,1,1,A complete irredundant list of the $219$ affine classes of space groups
188,LeanEval.Geometry.SpaceGroupsProblem.space_groups_sohncke_classification,0.2000,0.2000,1,1,1,A complete irredundant list of the $65$ Sohncke space-group types
189,SmaleNinth.smale_ninth_real_ram,0.2000,0.2000,1,1,1,"Smale's ninth problem, real-RAM form (open)"
190,Freiman.lower_geometry_cover,0.1970,0.1970,1,5,5,Freiman lower construction: geometry cover
191,KServer.workFnU_growth_sharp_large,0.1894,0.1894,1,4,4,Sharp injective total growth beyond the known small cases (open)
192,TaoFivePrimes.minor_arc_Linfty_corrected,0.1881,0.1357,3,4,3,Estimate (8.18) with sharpened constant: $L^\infty$ bound off the strongly major arc ($0.05$)
193,PoincareFormalization.ExtinctionEndgame.nonempty_homeomorph_sphere_of_connected_sum_spheres,0.1879,0.1667,1,2,2,A connected sum of three-spheres is a three-sphere
194,PoincareFormalization.ExtinctionEndgame.not_simply_connected_sphere_handle,0.1879,0.1667,1,2,2,The sphere handle is not simply connected
