unlock_rank,name,unlock_open_union,unlock_open_guaranteed,published_open_rank,published_conemass_union,title
15,syracuse_descent_residual_seven_mod32_mod128,2.1568,1.8854,24,0.8701,"Syracuse descent for residues 39, 71, and 103 modulo 128"
16,syracuse_descent_residual_twentyseven_mod32_mod4096,2.1568,1.8854,36,0.6923,Residual Syracuse descent inside $n \equiv 27 \pmod{32}$ modulo $4096$
17,OddPerfectNumber.k_one_deficiency_impossible,2.1422,2.1422,12,1.0739,The k = 1 deficiency packaging is impossible for m >= 2
18,WeakGoldbach.verified_range_sieve_coverage,2.0854,1.8076,6,1.3994,"Finite sieve coverage of the binary Goldbach range $(4\cdot 10^{14},\,4\cdot 10^{18}]$ in blocks of one million"
19,flt_s2_gamma0_2_empty,2.0833,2.0833,14,1.0553,
20,ArithmeticE.algebraic_e_combination_zero_singularity,2.0831,1.0000,156,0.2529,Arithmetic zero-singularity theorem for algebraic combinations of rational E-series
21,EulerMascheroni.Arithmetic.gompertz_prime_local_bounds_conjecture,2.0831,1.9762,112,0.3486,Conjectural prime-local denominator bounds at Gompertz factorial endpoints
22,OddPerfectNumber.no_dris_five_s_odd_ge_five,1.9831,1.9831,20,0.9751,Dris-index case s >= 5 with s odd is impossible
23,TaoFivePrimes.strongly_major_arc_prime_sums_to_cutoff_model,1.9625,2.0833,73,0.4718,Corrected verified-RH transfer on the strongly major arc
24,WhitneyEmbedding.exists_uniform_dim_immersion_on_compacts,1.9583,2.0333,28,0.7667,Immersions of compact subsets with a uniform target dimension
25,SymplecticFreeModules.canonical_invariant_submodule_dichotomy,1.9333,1.9333,22,0.9286,Canonical invariant-submodule dichotomy
26,Leopoldt.rank_oneUnits_le_finrank,1.8512,1.8512,41,0.6342,$\operatorname{rank}_{\mathbb{Z}_p} \prod_{\mathfrak{p} \mid p} U_1(\mathbb{F}_\mathfrak{p}) \le [\mathbb{F} : \mathbb{Q}]$
27,MomentAngleSurgery.exists_neighborly_twoComplex_cokernel,1.8361,1.8361,33,0.7006,A neighbourly two-complex in a four-sphere with the surgery presentation
28,momentAngle_topSummand_allDegrees_homology,1.8361,1.8361,21,0.9506,Top splitting summand in all positive degrees
29,CollapsibleCubics.exists_split_product_mod_depressed_cubic_of_not_normForm_repr,1.8333,1.8333,37,0.6762,A split representative modulo an obstructed depressed cubic
30,Gilbreath.zero_two_blocks,1.8333,1.8333,42,0.6111,The rows of the Gilbreath triangle carry long initial blocks of $0$s and $2$s
31,PoincareFormalization.measured_surgery_data_of_not_homeomorph_sphere,1.8333,1.8333,218,0.1539,Construct measured surgery data from a hypothetical counterexample
32,Hirsch.common_face_diameter_of_dim_ge_five,1.8290,1.8290,196,0.1877,Polynomial diameter of common faces of dimension at least five
33,OddPerfectNumber.no_dris_nine_s_ge_two_not_even,1.8164,1.8164,26,0.8323,Dris-index case s ge 2 with s not even is impossible for k = 9
34,OddPerfectNumber.no_dris_thirteen_s_ge_two_not_even,1.8164,1.8164,25,0.8656,Dris-index case s ge 2 with s not even is impossible for k >= 13
35,mme_more_asymmetry_entropy_regional_surplus_certificate,1.7159,1.5000,289,0.0775,Construct a successful finite regional entropy recipe for omega < 2.37134
36,FiniteMagmaE677.cross_boundary_collision_propagates_to_left_successor,1.7000,1.7000,52,0.5540,A cross-boundary right-translation collision propagates to the next point of the left orbit
37,syracuse_minimal_period_ge_seventeen_eq_one,1.6881,1.5000,76,0.4583,Exclude nontrivial Syracuse cycles of least period at least seventeen
38,TaoFivePrimes.norm_S0_le_weakly_major_5e6,1.6701,1.5611,74,0.4650,Weakly-major-arc bound for the smoothed prime sum
39,TaoFivePrimes.smoothedExpSum_dirichlet_bound_005,1.6701,1.5611,91,0.4079,Dirichlet-regime bound for the smoothed prime sum
40,BookSixth.crossing_free_subset_edge_bound,1.6429,1.6429,70,0.4813,Planar edge bound for a crossing-free subset of a good drawing
41,HarmonicBuilding.constantOnOpenImpliesConstant,1.6278,1.7012,30,0.7194,Unique continuation: locally constant forces globally constant
42,PoincareFormalization.ExtinctionEndgame.exists_area_evolution_surgery_topology,1.6111,1.5000,271,0.1046,Construct surgery topology with uniform area evolution
43,SymplecticFreeModules.exceptional_artinian_chain_stabilizes,1.6000,1.6000,32,0.7024,Exceptional Artinian chain stabilization
44,Richstein2001.even_goldbach_up_to_4e14,1.5854,1.3076,8,1.2327,Richstein finite verification of even Goldbach up to $4\cdot10^{14}$
45,HorizontalPadicL.ellipticCurve_minimalModularLevel_iff_localEulerFactorDegree_lt_two,1.5625,1.5625,116,0.3389,The minimal modular level detects subquadratic local Euler factors
46,RybinAI2026.P01.crossIntegral_sum_le_max,1.5429,1.5429,38,0.6534,"Mixed integrals sum to at most $\max\{d(A,C),d(B,D)\}$"
47,Erdos390.eventual_three_family_disjoint_residual_exists,1.5000,1.5000,54,0.5442,Theorem 10.3 — Eventual pairwise disjoint three-family residual existence
48,Erdos9796Mission.critical_cover_card_le_nine_of_tight_center,1.5000,1.5000,50,0.5637,Critical-radius cover bound from a tight center
49,Hadamard.exists_orthogonal_pm_one,1.5000,1.5000,7,1.3333,"Hadamard's conjecture for odd multipliers, orthogonality form: $MM^{\mathsf T}=4kI$"
50,ReservoirSAS.monomial_sas_realization,1.5000,1.5000,96,0.3750,Exact contracting SAS realization of one history monomial
51,WeightedRootIntegralIdentity.weighted_geometric_mean_cauchy_boundary_integral,1.5000,1.5000,131,0.3095,Cauchy boundary-integral form of the weighted geometric mean
52,WeightedRootIntegralIdentity.weighted_root_keyhole_contour_boundary_balance,1.5000,1.5000,132,0.3095,Cauchy boundary balance for the weighted-root keyhole contour
53,WeightedRootIntegralIdentity.weighted_root_keyhole_contour_identity,1.5000,1.5000,133,0.3095,Keyhole-contour identity for a weighted root product
54,bp_frey_package_yields_newform_level_2,1.5000,1.5000,71,0.4803,
55,hardy_littlewood_conjecture_A,1.5000,1.5000,5,1.5000,
56,mme_CW_square_laser_2376_profile_pruning,1.5000,1.5000,221,0.1526,Finite CW square laser extraction at the exact 2.376 profile
57,modularity_semistable_elliptic,1.5000,1.5000,307,0.0652,
58,mme_more_asymmetry_cofinal_hash_extraction_certificate,1.4659,1.0833,229,0.1437,"More Asymmetry: joint cofinal hash, source and rate certificate"
59,WeakGoldbach.prime_in_4e18_window_to_8875e30,1.4444,1.1667,13,1.0629,Prime gaps below $8.875\times 10^{30}$ are smaller than $4\cdot 10^{18}$
60,TaoFivePrimes.mesoscopic_L2_source,1.4201,1.4444,69,0.4917,Mesoscopic L2 estimate for the five-primes cutoff
61,WeakGoldbach.symmetric_pair_count_pos_above_2e18,1.3687,1.1909,16,1.0391,Positive count of symmetric prime offsets around $m > 2\cdot 10^{18}$
62,DiazModulus.diaz_of_exp_real_generic,1.3659,1.4345,138,0.2859,The generic real case: both parts of u non-zero
63,momentAngle_neighborlyTwoComplex_h1_selfLoopHomology,1.3361,1.3361,56,0.5339,First homology of a neighbourly $2$-complex $|K|$ embeds in $H_{s+1}(\\Omega\\mathcal Z_K)$
64,Hirsch.common_face_diameter_of_dim_ge_four,1.3290,1.3290,215,0.1591,Polynomial diameter of common faces of dimension at least four
65,diophantine_quintuple_fujita_regular,1.3061,1.3061,29,0.7550,"Fujita regularity of {a,b,c,d} (explicit d_+ equation)"
66,ErdosStraus242.hard_core_840_after_mod11_mod19_mod23_mod31,1.2833,1.2833,68,0.4917,"Remaining modulo-840 prime cases after the mod-11, mod-19, mod-23 and mod-31 sieves"
67,Freiman.lower_one_step,1.2833,1.2833,262,0.1111,Freiman lower construction: one step
68,KServer.workFnU_growth_sharp_large,1.2833,1.2833,191,0.1894,Sharp injective total growth beyond the known small cases (open)
69,zeta_ne_zero_of_strip_of_five_lt_im,1.2833,1.2833,53,0.5519,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ in the upper strip $\operatorname{Im} s>5$
70,Leopoldt.galois_totallyReal_injection,1.2679,1.2679,75,0.4636,Continuous unit injection for totally real Galois fields
71,EulerMascheroni.Mixed.decaying_algebraic_mixed_quotient_conjecture,1.2497,1.1429,173,0.2161,Conjectural arithmetic quotient for the local mixed E-value relation
72,RybinAI2026.P16.base_four_partial_hadamards,1.2417,1.1167,10,1.1005,Four-family base construction for the dimension-six MUB frontier
73,RybinAI2026.P16.extend_four_to_five_partial_hadamards,1.2417,1.1167,11,1.1005,Four-to-five extension step for the dimension-six MUB frontier
74,RybinAI2026.P01.matrix_integral_inequality_integer_gram_noncollinear,1.2095,1.2095,58,0.5284,Integer Gram inequality with overlapping spectra and noncollinear differences
75,syracuse_descent_fifteen_mod_sixteen,1.1568,0.8854,106,0.3590,Syracuse descent for $n \equiv 15 \pmod{16}$
76,syracuse_descent_seven_mod_thirtytwo,1.1568,0.8854,98,0.3701,Syracuse descent for $n \equiv 7 \pmod{32}$
77,syracuse_descent_twentyseven_mod_thirtytwo,1.1568,0.8854,107,0.3590,Syracuse descent for $n \equiv 27 \pmod{32}$
78,BookSixth.latin_bounds,1.1429,1.1429,104,0.3646,"Chapter 37, Theorem 2: Latin square count"
79,OddPerfectNumber.k_one_diophantine_m_ge_two,1.1422,1.1422,49,0.5739,The k = 1 divisor-sum equation is impossible for m >= 2
80,WeakGoldbach.verified_two_primes_4e14_to_4e18,1.0854,0.8076,23,0.8994,"Verified binary Goldbach range $(4\cdot 10^{14},\, 4\cdot 10^{18}]$"
81,flt_ribet_contradiction,1.0833,1.0833,51,0.5553,
82,ArithmeticE.beukers_rational_system_lifting,1.0831,0.0000,247,0.1279,Classical Beukers linear lifting for rational-coefficient E-systems
83,EulerMascheroni.Arithmetic.factorial_division_denominators_conjecture,1.0831,0.9762,200,0.1820,Conjectural arithmetic division bounds for the Gompertz factorial quotient
84,HarmonicBuilding.firstVariationOfEnergyAndMoment,1.0444,0.0000,80,0.4511,First variation of the boundary moment and the energy of a harmonic map
85,HarmonicBuilding.weakFirstVariationData,1.0444,0.0000,81,0.4511,Almost-everywhere energy and moment variation for building-valued harmonic maps
86,BanditAlgorithm.chernoff_stopping_time_le_integrable_plus_linear,1.0000,1.0000,206,0.1667,Track-and-Stop stops after an integrable time plus (1+ε)c*(ν)log(1/δ)
87,Beal.primitive_reduced_exponents,1.0000,1.0000,59,0.5000,Beal conjecture for ordered exponents $4$ or odd primes
88,Chou.residuallyFinite_freeGroup,1.0000,1.0000,336,0.0370,Free groups are residually finite (external)
89,Erdos287.mixed_gap_core,1.0000,1.0000,159,0.2500,Residual core of Erdős #287: no gap-$\le 2$ representation of $1$ with two unit gaps
90,Erdos390.eventual_three_family_residual_exists,1.0000,1.0000,121,0.3333,Theorem 10.3 — Eventual existence of three-family residual partition
91,Erdos81.dense_chordal_clique_partition,1.0000,1.0000,122,0.3333,Dense regime of Erdős Problem 81
92,KAMMainCorrected.finiteStagePersistenceData,1.0000,1.0000,62,0.5000,Finite-stage KAM exclusions and persistence on the common survivor
93,RamareSaouter2003.has_prime_in_interval,1.0000,1.0000,17,1.0000,Ramaré–Saouter 2003 exact short-prime interval
94,RybinAI2026.P13.exponential_boundary_elementary_abel_solution,1.0000,1.0000,124,0.3333,An elementary expression for a nonnegative exponential-boundary Abel solution
95,SmaleNinth.smale_ninth_real_ram,1.0000,1.0000,189,0.2000,"Smale's ninth problem, real-RAM form (open)"
96,Tunnell.even_count_implies_curve_point,1.0000,1.0000,63,0.5000,Tunnell even count identity yields a nonzero rational curve point
97,Tunnell.odd_count_implies_curve_point,1.0000,1.0000,64,0.5000,Tunnell odd count identity yields a nonzero rational curve point
98,WeylHeisenbergSIC.fiducial_exists,1.0000,1.0000,65,0.5000,Weyl-Heisenberg SIC fiducial existence in every positive dimension
99,catalan_ne_rat_mul_sqrt_three_LChiMinusThree,1.0000,1.0000,320,0.0588,"$L(2,\chi_{-4})$ and $\sqrt{3}\,L(2,\chi_{-3})$ are not rationally related"
100,green_tao_theorem,1.0000,1.0000,18,1.0000,Green–Tao theorem: the primes contain $k$-term arithmetic progressions
101,mme_CW_coupled_raw_cyclic_value_of_ratio,1.0000,1.0000,216,0.1591,Raw cyclic value from the coupled CW pruning condition
102,mme_CW_square_laser_frequent_witness_of_coupled,1.0000,1.0000,222,0.1452,Finite CW tensor-square laser witnesses from the coupled constituent
103,Hirsch.polynomial_edge_refinement_of_circuit_walks_of_high_carrier,0.9956,0.9956,243,0.1335,Polynomial edge refinement of circuit walks with a high-dimensional common face
104,OddPerfectNumber.no_dris_five_s_ge_two_not_even,0.9831,0.9831,72,0.4751,Dris-index case s ge 2 with s not even is impossible
105,mme_more_asymmetry_six_symmetric_tau_value_surplus,0.9659,0.5833,270,0.1053,More Asymmetry: six-symmetric tau-value surplus
106,TaoFivePrimes.strongly_major_arc_discrete_to_cutoff_model,0.9625,1.0833,134,0.3052,Strongly major arc: reduction to the cutoff convolution
107,WhitneyEmbedding.finite_injective_immersion_from_separating_family,0.9583,1.0333,87,0.4333,Finite injective immersion from a separating family
108,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_aligned_norm_free,0.9492,0.0000,78,0.4530,"Period-aligned, norm not a rational multiple of the aligned datum: the residual half"
109,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_free_pi_im_algebraic,0.9492,1.1012,47,0.5863,"Irrational angle, no period translate but $\pi\,\Im u$ algebraic"
110,DiazModulus.diaz_of_exp_not_real_irrational_angle_period_free_pi_im_transcendental,0.9492,1.1012,48,0.5863,"Irrational angle, $\pi\,\Im u\notin\overline{\mathbb Q}+\pi^{2}\mathbb Q$: the residual"
111,DiazModulus.recip_pi_not_log,0.9492,0.0000,79,0.4530,No algebraic multiple of $1/(i\pi)$ is a logarithm of an algebraic number
112,SymplecticFreeModules.canonicalShenLarssonSimplicity,0.9333,0.9333,88,0.4286,Simplicity of the canonical Shen–Larsson action at nonexceptional parameters
113,TaoFivePrimes.S1_major_arc_L2_mass_corollary49_limit,0.9201,0.0000,83,0.4417,Corollary 4.9 central-arc mass for the Section 8 cutoff
114,TaoFivePrimes.S1_major_arc_L2_mass_corollary49_raw,0.9201,0.0000,84,0.4417,Tao Corollary 4.9: normalized raw major-arc mass estimate
115,TaoFivePrimes.rosser_psi_finite_middle,0.8922,0.8333,117,0.3383,Finite Rosser bound between 1000 and 10^8
116,TaoFivePrimes.schoenfeld_psi_error_large,0.8922,0.8333,118,0.3383,Explicit two-sided Chebyshev error above 10^8
117,WeakGoldbach.symmetric_prime_pair_above_2e18,0.8687,0.6909,31,0.7058,Symmetric prime pairs around $m$ for $m > 2\cdot 10^{18}$
118,Leopoldt.exists_continuous_injective_unitClosure_of_mem_iInf,0.8512,0.8512,94,0.3842,"Rank of the $p$-adic closure of $\varphi(\bar{E}(\mathbb{F}))\cdot\langle h_1,\dots,h_m\rangle$ is at most $\mathbb{Z}_p\text{-rk}\,\bar{E}(\mathbb{F}) + m$"
119,Leopoldt.le_finrank_of_continuous_injective_semilocalUnits,0.8512,0.8512,95,0.3842,The $\mathbb{Z}_p$-rank of the semilocal units $U_p(\mathbb{F})$ is at most $[\mathbb{F} : \mathbb{Q}]$
120,momentAngle_exists_neighborly_twoComplex_subcomplex_blocks,0.8361,0.8361,102,0.3673,Uniform torsion blocks in a neighbourly two-complex inside a simplicial $4$-sphere
121,momentAngle_h1_selfComplex_topSummand,0.8361,0.8361,82,0.4506,First homology of $|K|$ embeds in $H_{s+2}(\\mathcal Z_K)$
122,WeakGoldbach.verified_two_primes_to_4e18,0.8354,0.5576,34,0.6994,Verified binary Goldbach range through $4\times 10^{18}$
123,CollapsibleCubics.depressed_cubic_collapsible_of_not_normForm_repr,0.8333,0.8333,115,0.3429,Collapsibility of depressed cubics beyond the norm-form case
124,Gilbreath.second_column,0.8333,0.8333,142,0.2778,The second column of the Gilbreath triangle is bounded by $2$
125,Hairer.reconstruction_existence_pointwise_nonpos,0.8333,0.8333,128,0.3250,Existence of the reconstruction of a modelled distribution for $\alpha<\gamma\le 0$
126,Hairer.reconstruction_existence_pointwise_pos,0.8333,0.8333,129,0.3250,Existence of the reconstruction of a modelled distribution for $\gamma>0$
127,PoincareFormalization.surgery_comparison_process_of_not_homeomorph_sphere,0.8333,0.8333,286,0.0825,Volume-controlled width profiles from a hypothetical Poincare counterexample
128,OddPerfectNumber.no_dris_nine_s_ge_two,0.8164,0.8164,125,0.3323,Dris-index case k = 9 with s >= 2 is impossible
129,OddPerfectNumber.no_dris_thirteen_s_ge_two,0.8164,0.8164,103,0.3656,Dris-index case k >= 13 with s >= 2 is impossible
130,diophantine_quintuple_not_b_le_3a_of_2a_le,0.8061,0.8061,45,0.5883,No ordered Diophantine quintuple has 2a at most b at most 3a
131,diophantine_quintuple_not_b_lt_2a,0.8061,0.8061,46,0.5883,No ordered Diophantine quintuple has b below 2a
132,ErdosStraus242.hard_core_840_after_mod11_mod19_mod23,0.7833,0.7833,137,0.2917,"Remaining modulo-840 prime cases after the modulo 11, 19 and 23 sieves"
133,Freiman.lower_refinement_alternative,0.7833,0.7833,343,0.0342,Freiman lower construction: refinement alternative
134,KServer.workFnU_sharp_potential,0.7833,0.7833,269,0.1061,Sharp work-function potential: an open sufficient condition
135,zeta_ne_zero_of_strip_of_two_lt_im,0.7833,0.7833,135,0.3019,No zeros of $\zeta$ with $\tfrac12<\operatorname{Re} s<1$ in the upper strip $\operatorname{Im} s>2$
136,Hirsch.polynomial_edge_refinement_of_circuit_walks_dim_ge_four,0.7456,0.7456,264,0.1091,Polynomial edge refinement of circuit walks in dimension at least four
137,RybinAI2026.P16.base_five_partial_hadamards,0.7417,0.6167,43,0.6005,Base five-family construction for the dimension-six MUB frontier
138,RybinAI2026.P16.extend_five_to_six_partial_hadamards,0.7417,0.6167,44,0.6005,Extension step for the dimension-six MUB frontier
139,mme_more_asymmetry_integer_regional_surplus_certificate,0.7159,0.5000,333,0.0417,An efficient finite integer recipe for the More Asymmetry bound
140,FiniteMagmaE677.orbit_right_collision_or_fixer,0.7000,0.7000,109,0.3540,An orbit right-collision forces a fixer
141,FiniteMagmaE677.unique_left_orbit_complement_collision_gives_fixer,0.7000,0.7000,110,0.3540,A right-translation collision across a one-element left-orbit complement gives a fixer
142,syracuse_minimal_period_ge_eight_eq_one,0.6881,0.5000,252,0.1250,Exclude nontrivial Syracuse cycles of least period at least eight
143,WeakGoldbach.three_odd_primes_10pow27_to_exp3100,0.6778,0.5000,39,0.6527,All-odd ternary Goldbach for $10^{27} \le n < e^{3100}$
144,WeakGoldbach.three_odd_primes_ge_exp3100,0.6778,0.5000,40,0.6527,All-odd ternary Goldbach for $n \ge e^{3100}$
145,TaoFivePrimes.minor_arc_Linfty_dirichlet,0.6701,0.5611,146,0.2650,"(8.18), Dirichlet regime: $KT_0/(4\pi x) < \|\alpha\| < 32/N_0$"
146,TaoFivePrimes.minor_arc_Linfty_weakly_major,0.6701,0.5611,147,0.2650,"(8.18), weakly major regime: $T_0/(3.6\pi x) < \|\alpha\| \le KT_0/(4\pi x)$"
147,collatz_descent_fifteen_mod_sixteen,0.6568,0.3854,148,0.2590,Collatz descent for $n \equiv 15 \pmod{16}$
148,collatz_descent_seven_mod_thirtytwo,0.6568,0.3854,149,0.2590,Collatz descent for $n \equiv 7 \pmod{32}$
149,collatz_descent_twentyseven_mod_thirtytwo,0.6568,0.3854,150,0.2590,Collatz descent for $n \equiv 27 \pmod{32}$
150,DiazModulus.diaz_of_exp_ne_one,0.6548,0.6667,254,0.1135,"Real exponential other than 1, non-real argument"
151,BookSixth.drawing_sampling_bound,0.6429,0.6429,165,0.2313,Vertex-sampling inequality for a good plane drawing
152,OddPerfectNumber.k_one_sigma_diophantine,0.6422,0.6422,130,0.3239,The special-exponent-one divisor-sum equation is impossible
153,WeakGoldbach.even_goldbach_to_4e18,0.6354,0.3576,57,0.5327,Finite binary Goldbach verification through $4\cdot10^{18}$
154,mme_more_asymmetry_fixed_tau_cofinal_six_extraction_real_tau,0.6326,0.2500,299,0.0695,More Asymmetry: cofinal six-symmetric finite extraction at real tau
155,HarmonicBuilding.constantOnBallImpliesConstant,0.6278,0.7012,169,0.2194,A harmonic map constant on a disc is constant on the domain
156,HarmonicBuilding.isPlanarKSHarmonicAt_minimizes_on_small_balls,0.6278,0.7012,170,0.2194,An energy minimizer at one radius minimizes at every smaller radius
157,Chou.isFinitelyPresented_of_isFinitelyPresented_of_finite_quotient,0.6167,0.6167,126,0.3270,An extension of a finitely presented group by a finite group is finitely presented
158,Chou.isFinitelyPresented_of_isNilpotent_of_fg,0.6167,0.6167,127,0.3270,Finitely generated nilpotent groups are finitely presented (external)
159,PoincareFormalization.ExtinctionEndgame.exists_measured_surgery_topology,0.6111,0.5000,321,0.0546,Construct measured surgery topology for the extinction endgame
160,BSD.birch_swinnerton_dyer_of_analyticOrderAt_le_one,0.6000,0.5000,89,0.4167,"Gross–Zagier–Kolyvagin: if $\operatorname{ord}_{s=1} L(E,s) \le 1$ then it equals the rank of $E(\mathbb{Q})$"
161,BSD.birch_swinnerton_dyer_of_two_le_analyticOrderAt,0.6000,0.5000,90,0.4167,"Birch and Swinnerton-Dyer in analytic rank $\ge 2$: if $\operatorname{ord}_{s=1} L(E,s) \ge 2$ then it equals the rank of $E(\mathbb{Q})$"
162,BSD.modularity_implies_analytic_continuation,0.6000,0.5000,119,0.3333,Modularity of an elliptic curve implies analytic continuation of its L-function
163,BSD.modularity_of_elliptic_curve,0.6000,0.5000,120,0.3333,"Every elliptic curve over $\mathbb{Q}$ is modular (Wiles, Taylor-Wiles, Breuil-Conrad-Diamond-Taylor)"
164,SymplecticFreeModules.exceptionalArtinian,0.6000,0.6000,178,0.2024,Exceptional symplectic polynomial modules are Artinian
165,SymplecticFreeModules.irreducible_off_exceptional,0.6000,0.6000,99,0.3690,Generic simplicity outside the exceptional parameters
166,SymplecticFreeModules.not_simple_on_exceptional,0.6000,0.6000,100,0.3690,Nonsimplicity at exceptional parameters
167,flt_wiles_coprime,0.5833,0.5833,108,0.3553,
168,EulerMascheroni.Arithmetic.factorial_division_decay_conjecture,0.5831,0.4762,275,0.0911,Conjectural denominator decay sufficient for Gompertz transcendence
169,EulerMascheroni.Mixed.beukers_e_value_linear_lifting,0.5831,0.0000,277,0.0879,Classical Beukers lifting specialized to the Euler E-function system
170,HorizontalPadicL.ellipticCurve_attachedForm_isNormalizedEigenform,0.5625,0.5625,240,0.1389,The modular form attached to an elliptic curve is a normalized eigenform
171,WeakGoldbach.prime_ladder_to_8875e30,0.5585,0.3333,86,0.4342,Helfgott–Platt prime-ladder certificate through $8.875\times10^{30}$
172,collatz_descent_three_mod_four,0.5457,0.2742,175,0.2114,Collatz descent for $n \equiv 3 \pmod 4$
173,Hirsch.polynomial_edge_refinement_of_circuit_walks,0.5456,0.5456,280,0.0853,Polynomial edge refinement of irredundant circuit walks — open research
174,HarmonicBuilding.orderAtLeastOne,0.5444,0.8679,157,0.2511,The order gap: a nonconstant harmonic map has order at least one
175,HarmonicBuilding.surfaceFrequencyMonotoneOn,0.5444,0.8679,158,0.2511,Almgren monotonicity of the frequency
176,HorizontalPadicL.disjointRamification_seededFrobeniusClass_exists_v2,0.5375,0.5375,223,0.1441,Simultaneous Frobenius class from the actual Galois characters
177,HorizontalPadicL.newEigenform_residualRepresentation_exists,0.5375,0.5375,224,0.1441,Residual Galois representation attached to a new eigenform
178,HorizontalPadicL.positiveDensityOrderlySet_to_primeSystem,0.5375,0.5375,225,0.1441,Enumerating a positive-density orderly-prime set
179,HorizontalPadicL.seedCyclotomicGaloisCharacters_exist_v2,0.5375,0.5375,226,0.1441,Finite Galois realization of the cyclotomic and seed characters
180,HorizontalPadicL.seededEigenform_padicPlace_exists,0.5375,0.5375,227,0.1441,A p-adic place for eigenform coefficients and a seed character
181,HorizontalPadicL.seededFrobeniusClass_positiveDensity,0.5375,0.5375,228,0.1441,Positive density of the seeded Frobenius class
182,WeakGoldbach.even_goldbach_above_4e18,0.5354,0.3576,77,0.4558,Even Goldbach above the verified range $4\cdot 10^{18}$
183,Leopoldt.zpRankBelow_unitClosure_le_add_of_finiteIndex,0.5179,0.5179,162,0.2414,The $\mathbb{Z}_p$-rank of the $p$-adic closure of the units grows by at most the number of new unit generators
184,WeakGoldbach.verified_two_odd_primes_to_4e18,0.5111,0.3333,92,0.4027,"Verified odd-prime binary Goldbach range $[6,\, 4\cdot 10^{18}]$"
185,RybinAI2026.P01.matrix_integral_inequality_integer_gram_overlapping_spectra,0.5095,0.5095,171,0.2173,Integer Gram inequality with overlapping relative spectral intervals
186,Conway99.conway_99_adjacency_matrix_exists,0.5000,0.0000,60,0.5000,Adjacency-matrix form of Conway's 99-graph problem: $A^2+A=12I+2J$
187,Conway99.conway_99_triangle_system_exists,0.5000,0.0000,61,0.5000,"Line-system form of Conway's 99-graph problem: $99$ points, $231$ lines of size $3$"
188,Erdos390.eventual_guarded_four_family_assembly,0.5000,0.5000,113,0.3442,Theorem 10.3 — Guarded four-family joint upper product assembly
189,Erdos9796Mission.critical_radius_cover_card_le_nine,0.5000,0.5000,166,0.2304,Open geometric core: critical-radius cover has at most nine vertices
190,EulerMascheroni.P2.f_saddle_limit,0.5000,0.5000,207,0.1667,Complex-saddle asymptotic for the explicit Euler remainder
191,EulerMascheroni.P2.phase_compatible_primitive_saving,0.5000,0.5000,208,0.1667,Candidate P2 arithmetic obligation: phase-compatible primitive saving
192,Hadamard.odd_multiplier_exists,0.5000,0.5000,123,0.3333,Hadamard matrices of order $4k$ for odd $k$
