def_rank,name,conemass,direct_dependents,title
114,erdos390_problem,4.3875,13,Erdős Problem 390 — exact finite model and asymptotic target
115,Vino_dirichlet,4.3538,6,Gauss sums and character-twisted von Mangoldt sums
116,Chou_Growth,4.3270,7,"Growth of finitely generated groups: balls, exponential growth, exponentially bounded, free subsemigroups"
117,MarkovChainPathMeasure,4.3247,50,"Chain law from an initial distribution, sample averages, and the CLT property"
118,mme_CW_tensor,4.3045,23,
119,mm_lower,4.2992,13,"Bottleneck ratios, distinguishing statistics, and the transition graph"
120,frame_2026_harmonic_building_conical,4.2605,12,Conical Euclidean buildings and maps homogeneous of order $\alpha$
121,Freiman_gapCertificateData,4.2330,11,"The supplied lower, upper and forcing partition data"
122,BertsekasSSPModel,4.2000,5,"The stochastic shortest path model, its DP operators, and discounted variants"
123,gribov_region_model,4.2000,5,Faddeev--Popov operator model and the Gribov region $\Omega$
124,agt_social,4.1667,4,"Preferences, social welfare and social choice functions"
125,eulerMascheroni_p2Approximation,4.1667,3,Explicit second-order Euler approximants and saddle models
126,metric_npc_cone,4.1449,2,"Metric midpoints, the CN inequality, and metric cones"
127,ConvexOptimization_lagrangeDuality,4.1429,6,"Lagrange duality: feasible set, Lagrangian, and dual function"
128,PrimalDualOnline_SkiRentalLP,4.1250,8,Ski-rental fractional LP: primal covering and dual packing programs
129,Hairer_TestFunctions,4.0750,2,"Scalings, test functions, distributions and the spaces $\mathcal{C}^\alpha_s$"
130,OpenGA_GeodesicBall,4.0674,3,Open balls for a specified Riemannian metric
131,rationalEArithmetic,4.0616,5,Rational arithmetic coefficients for E-function specialization
132,Fejer_fejerKernel,4.0380,5,Fejér kernel
133,MTT_Measures,4.0330,12,"MTT: p-adic measures, disk moments, and interpolation"
134,Geometry_AlmostLosslessCore,4.0179,3,Aether Catalog definitions — Geometry_AlmostLosslessCore
135,ShiShallow_Operator,4.0146,16,Local operators on n qubits
136,FLTPrelim_Modularity,4.0080,11,Modularity of elliptic curves over ℚ via eigenform coefficients
137,eulerMascheroni_mixedCover,3.9961,6,An explicit mixed-function family on the logarithmic cover
138,rybin2026_p16_mutually_unbiased_bases,3.9755,3,Problem 16 definitions — Existence of complete sets of mutually unbiased bases
139,BunkbedHypergraph,3.9673,10,"Hypergraph percolation, Hollom's hypergraph, and the Wierman-Ziff model"
140,SelfNormalizedProcess,3.9623,6,
141,BanditTrajectory,3.9586,14,
142,Hatcher_VanKampen,3.8667,6,"Hatcher §1.2: the homomorphisms $j_\alpha$, $\Phi$, $i_{\alpha\beta}$ and the normal subgroup $N$ of van Kampen's theorem"
143,mme_block_tensor,3.8509,2,
144,MarkovErgodicity,3.8303,47,"Harris ergodicity; geometric, uniform, and polynomial ergodicity"
145,Freiman_middleCover,3.8145,1,Exact middle-interval cover geometry
146,BFFPyramidal_arithmetic,3.7917,6,"Greatest prime factor, divisor closure, and the totient measure"
147,Vino_primes,3.7896,12,Prime-side generating functions of the circle method
148,eulerMascheroni_factorialQuotient,3.7875,6,Factorial quotient coefficients and their common-denominator condition
149,mme_modern_entropy_data,3.7716,2,Finite entropy and coordinate marginals for modern laser certificates
150,EulerMaclaurin_defs,3.7344,32,First Bernoulli function $B_1(x) = \{x\} - \tfrac{1}{2}$ for the first-order Euler–Maclaurin formula
151,Fourier_defs,3.7344,32,Fourier-analysis scaffolding: coercion of real-valued to complex-valued functions for Fourier transform lemmas
152,KN_HorizontalPadicL,3.7287,4,Twisted critical values of a modular elliptic curve
153,Thurston23_mobius,3.6461,4,"The Möbius action of $\mathrm{SL}_2(\mathbb{C})$ on hyperbolic $3$-space, by isometries preserving the volume"
154,PartialMonitoringStochastic,3.6177,9,Stochastic partial-monitoring feedback experiment
155,Freiman_middleRoots,3.6145,21,The fifteen exact middle-interval roots
156,LinearOptimization_NetworkFlowProblem,3.6017,5,Network flow problem and node-arc incidence matrix
157,Freiman_wordRealization,3.6001,16,Word occurrences and separated block copies
158,OpenGA_CoordinateBallConnectedSum,3.5671,1,Coordinate-ball connected sums of three-manifolds
159,mme_rank_bridge,3.5028,17,
160,ZetaBounds_defs,3.4844,15,"Euler–Maclaurin representation $\zeta_0(N,s)$ of the Riemann zeta function and its derivative"
161,KerrBL_Kerr_ClosedForms,3.4665,16,"Closed-form derivatives, Christoffel symbols and explicit Ricci expression of the Kerr metric (generated)"
162,TaoFivePrimes_FourierRepresentation,3.4573,6,Finite Fourier representation of Tao’s weighted prime count
163,ucbStoppedCenteredSum,3.4226,6,Stopped centered reward stack
164,CircleMethod_waring,3.4188,20,"Complete exponential sums $S(q,a)$, the singular integral, and local densities"
165,rybin2026_p01_cross_integral,3.3534,8,"Mixed spherical integral $\operatorname{crossIntegral}(X,Y,P,Q)$"
166,MTT_Cohomology_Integration,3.3393,11,The cusp-to-cusp integration cocycle
167,mme_block_subtensor,3.3175,6,
168,Rudin_ch08_fourier,3.2500,4,"Orthonormal systems, Fourier coefficients, trigonometric polynomials"
169,erdos788_problem,3.2500,4,Erdős Problem 788 — exact finite model and final propositions
170,GoldbachSieve,3.2327,2,Finite prime sieve survivors and small-prime sum coverage
171,Freiman_gapThreshold,3.2144,7,Constants for the interval and gap constructions
172,MSKleene_Power,3.1999,5,The power $\Sigma$-algebra $A^{\wp}$
173,BregmanMincWeights,3.1979,5,Radhakrishnan weight functions for Bregman-Minc
174,CollatzMission,3.1697,9,Collatz mission predicates
175,MagicSquaresParam3,3.1667,8,MacMahon parametrization of 3x3 magic squares
176,Erdos9796Counting_CGN_CGN,3.1494,19,Counting transfer definition Erdos9796Counting_CGN_CGN
177,PrimalDualOnline_SkiRentalAlg,3.1250,7,Ski-rental online algorithms: deterministic cost and fractional primal-dual variables
178,pd_finite_lp,3.0873,2,Finite Standard-Form Primal and Dual Linear Programs
179,markov_entanglement_multi,3.0576,3,"Multi-agent separability, weighted distances, and entanglement measures"
180,mme_CW_auxiliary_RHS,3.0452,12,Coppersmith--Winograd Section 8 auxiliary expression
181,GYGraphTheory,3.0333,6,Prüfer encoding and decoding of labeled trees
182,BunkbedWZSurgery,2.9987,4,The path surgery of the involution argument
183,opg37364_matching_cuts,2.9821,7,Matching cuts and immune high-girth graph packages
184,FourierMotzkinStep,2.9030,2,Fourier–Motzkin elimination step
185,BraidsLinksMCG_ArtinBraidGroup,2.8929,6,The abstract braid group $B_n$ by generators and relations
186,Chou_ElementaryAmenable,2.8641,19,Elementary amenable groups (Day; Chou 1980)
187,FLTPrelim_FreyPackage,2.8025,7,The Frey package and its Frey curve
188,BertsekasLQGModel,2.7500,4,"The imperfect-information LQ model: trajectories, estimator, cost, Riccati gains"
189,VectorSpaceOpt_optimal_control,2.7500,4,Measurable optimal-control framework
190,single_server_queueing_stability,2.7500,4,
191,ThompsonSampling,2.7293,22,
192,CircleMethod_weylsum,2.7247,12,The Weyl sum $S_k(\alpha;N)=\sum_{x<N}e(\alpha x^k)$
193,LeanEval_SpaceGroups_Definitions,2.7000,5,"LeanEval crystallographic groups, affine equivalences, and counting functions"
194,Davenport_siegelWalfisz,2.6596,21,"Siegel–Walfisz vocabulary: $\psi(N;q,a)$, the zero-free region and exceptional sets"
195,Kawahira_dynamics,2.6492,1,"Fixed points, multipliers and the holomorphic index"
196,OpenGA_SurgeryTopologyEvolution,2.5671,6,Finite topological reconstruction data for surgery
197,Erdos9796Counting_MEC_Basic,2.5426,10,Counting transfer definition Erdos9796Counting_MEC_Basic
198,opg37364_lps13,2.5226,3,Fixed-p=13 integral generators and PGL₂ Cayley graph
199,eulerMascheroni_mixedCoefficients,2.4961,3,Taylor coefficients of the elementary mixed E-value combination
200,bernoulliRelativeEntropy,2.4589,11,
201,CircleMethod_genfun,2.4580,4,Exponential generating function $f_A(\theta)=\sum_{a\in A}e(a\theta)$
202,TaoFivePrimes_ArcSplit,2.4573,15,"Arc split for Tao's Theorem 8.2: the factors $S_{\eta_1}$, $S_{\eta_0}$, $D_{N_0/3}$ and the strongly major arc"
203,mm_spectral,2.4441,16,"Eigenvalues, spectral gap, relaxation time, and Dirichlet forms"
204,agt_games,2.4167,2,"Finite games, mixed strategies, and equilibria"
205,mme_regional_entropy_copy_bound,2.4108,2,Explicit entropy copy guarantees for actual integer regional steps
206,eulerMascheroni_padeTransform,2.3708,8,Euler Padé recurrence and the factorial quotient binomial transform
207,CodingTheory,2.3333,3,Finite-field linear codes and Hamming weight enumerators
208,PrimalDualOnline_SetCover,2.3333,3,"Set cover: bundled instances, integral and fractional covers, dual packings, and the two certificate predicates"
209,rybin2026_p13_exponential_boundary,2.3333,3,Problem 13 definitions — First-passage time of Brownian motion to an exponentially decaying boundary
210,BertsekasRiccatiMap,2.3333,3,"The Riccati operator, controllability, and observability"
211,Devaney_sarkovskii,2.3333,3,"Prime period, the Sarkovskii ordering, and interval covering"
212,Hatcher_Circle,2.3333,3,"Hatcher §1.1: the circle $S^1$, the covering $p:\mathbb{R}\to S^1$, and the loops $\omega_n$"
213,mme_permutation,2.2738,5,
214,exp3Policy,2.2484,5,
215,PdzBezout,2.2278,11,Bézout-layer plane setup: singularities and implicit-function adapter
216,TrackAndStop,2.2269,18,The Track-and-Stop learner (Algorithm 21)
217,HefferonLinAlg_jordan,2.2262,5,"Matrix similarity, Jordan blocks, and Jordan matrices"
218,mme_spectrum,2.2230,3,
219,ReservoirSAS,2.2083,6,"Non-homogeneous state-affine systems: matrix polynomials, the system equation, the governing bounds"
220,ConvexOptimization_ellipsoidBody,2.2000,4,Ellipsoid in quadratic-form guise
221,banditHistoryPrefix,2.1969,4,Bandit history prefix before a round
222,KN_HorizontalPadicLFunction,2.1953,6,Horizontal p-adic L-functions for eigenforms
223,DiscreteEntropy,2.1936,5,Discrete Shannon entropy under the uniform measure
224,RSign,2.1936,3,Rademacher sign of a Boolean coloring
225,mme_dwz_source_aligned_broken_obj,2.1763,3,A literal DWZ broken copy in retained source-position order
226,mme_CW_square_five_grade_certificate,2.1635,1,Algebraic five-grade orbit certificate for the square of the CW tensor
227,metric_geodesic_angle,2.1449,1,Geodesic segments and comparison angles
228,Diaz_Closure,2.1284,2,The hull $K(u)$: the subfield of $\mathbb{C}$ generated by a base field and one element
229,Diaz_Instantiation,2.1284,5,"$\bar{\mathbb{Q}}$, the algebraic numbers as a subfield of $\mathbb{C}$"
230,Freiman_cF,2.1269,6,Freiman's constant
231,Devaney_sigma2,2.1250,6,"The sequence space $\Sigma_2$ with Devaney's metric, and the shift map"
232,Freiman_markovSpectrum,2.0890,5,The classical Markov spectrum
233,pd_online_trace,2.0873,1,Deterministic Causal Online Processes
234,FormalizedScopeReach_SCOPE,2.0833,1,Timeline sampling and SCOPE
235,Erdos9796FiniteNine_CountingCore,2.0832,1,Finite-nine counting core aliases
236,PartialMonitoringAlgorithm26,2.0795,6,Algorithm 26 vector estimators and exploration–stability objective
237,Hairer_RegularityStructure,2.0750,1,"Regularity structures, sectors and products"
238,mme_CW_square_canonical_grading,2.0635,4,Canonical five-grading of the squared CW tensor
239,sgl_verifier_constructions,2.0534,11,
240,DifferentialGeometry_ModelRadialVolume,2.0507,1,Radial model volume for nonpositive curvature
241,DifferentialGeometry_RadialCrossComparison,2.0507,1,Cross-multiplied comparison of radial densities
242,Fejer_fourierCoeff,2.0380,2,Fourier coefficient
243,VectorSpaceOpt_coneLE,2.0333,3,VectorSpaceOpt.coneLE
244,NgoEndoscopicDiscriminant,2.0000,3,"Discriminant $D_G$, endoscopic subsystem $\Phi_H$ and resultant $R^G_H$"
245,AdversarialBandit,1.9984,5,
246,mme_recursive_yz_CW_cells,1.9794,2,Literal CW powers with graded exact profiles in physical cells
247,mub6_projective_toric_design,1.9755,5,Dimension-six projective toric design interface for MUBs
248,OpenGA_WidthComparisonData,1.9583,3,Finite-energy fields and width comparison data
249,sgl_machine_infrastructure,1.9357,1,
250,mme_CW_2376_address_block,1.8993,5,Tensor block attached to an exact CW profile address
251,BraidsLinksMCG_ConfigSpace,1.8929,6,"Configuration spaces $F_{0,n}E^2$, $B_{0,n}E^2$ and the braid groups of the plane"
252,Freiman_reducedForms,1.8890,16,Reduced quadratic forms and their two-sided continued-fraction orbit
253,CPWL,1.8333,3,"CPWL functions, hinges, and hinge sums (Wang–Sun)"
254,DKFAsymptotics_Densities,1.8333,1,"Lebesgue densities, Gaussian PDFs, and weak convergence"
255,OnlineLinearOptimization,1.8333,3,
256,RobustOptimization_LO,1.8333,1,"Robust feasibility of an uncertain linear inequality, and conically represented perturbation sets"
257,erdos81_clique_partitions,1.8333,3,Chordal graphs and exact edge partitions into cliques
258,MSKleene_Subst,1.8332,5,The $z$-substitution operators
259,LinearOptimization_Ellipsoid,1.8262,2,"Ellipsoid $E(z, D)$ with positive definite matrix $D$"
260,mme_hash_extraction_certificate,1.8237,3,Finite hash bundles and actual CW extraction certificates
261,HJMEilenberg_Formations,1.8111,7,Many-sorted congruence and regular-language formations
262,beukersLiftingData,1.7938,4,Polynomial relation bases and minimal scalar equations for Beukers lifting
263,uniformSuperposition,1.7833,1,Uniform superposition
264,mme_dwz_square_data,1.7716,8,DWZ Equation (25): exact q=6 second-power data
265,CappedBaseStock_BaseStockAnalysis,1.7714,3,Ordinary base-stock average lost sales and overlapping demand scans
266,mme_laser_pattern,1.7614,12,
267,KServer_workfunction,1.7561,1,The work function: optimal offline cost of serving a request sequence and ending at a given configuration
268,mme_degeneration,1.7549,6,
269,mme_recursive_yz_child_matrix_data,1.7512,1,Literal recursive child tensors with both-half multiplicities and matrix extractions
270,markov_entanglement_policy,1.7242,1,"States, actions and policies for multi-agent MDPs"
271,Hirsch_walk,1.7165,7,Walks and graph distance in the vertex-edge graph of a polytope
272,eulerMascheroni_sondowCutoff,1.7133,3,Sondow cutoff remainder and finite-shift correction
273,klucbTruncatedRelativeEntropy,1.6899,2,One-sided Bernoulli relative entropy
274,sgl_fold3_walk,1.6867,1,
275,mm_stopping,1.6660,8,"Stopping rules, strong stationary times, separation distance, and the top-to-random shuffle"
276,Kawahira_zeta,1.6492,7,"The nu functions $\nu_\zeta$, $\nu_\xi$ and the non-trivial zeros"
277,metric_alexandrov_angle,1.6449,1,Geodesic lines and the Alexandrov angle
278,FLTPrelim_GaloisRep,1.6358,5,Galois action on n-torsion; irreducibility predicate
279,mme_asymptotic_closure,1.6321,1,
280,mme_fractional_rank,1.6321,1,
281,CannonFloydParry_Trees,1.6111,5,Ordered rooted binary trees and their standard dyadic partitions
282,mm_mcmc,1.5931,3,The Metropolis chains and the Glauber dynamics
283,pd_unrelated_machines,1.5873,6,Unrelated-Machines Load-Balancing Model and Algorithm
284,Hirsch_common_face_geometry,1.5853,13,Common-face direction and coordinate geometry
285,Hairer_Model,1.5750,6,Models for a regularity structure and modelled distributions
286,mme_mmobj_mul,1.5659,5,
287,Freiman_perronArithmetic,1.5565,6,Arithmetic witnesses used by Perron’s comparison
288,OpenGA_RadialSurgeryVolumeBudget,1.5507,3,Radial comparison and a surgery volume-loss budget
289,matrix_completion_fixed_cardinality,1.5404,9,
290,MagicSquaresSemiMagic3,1.5333,4,Permutation-matrix parametrization of 3x3 semi-magic squares
291,SmaleNinth_BSSMachine,1.5333,4,Blum–Shub–Smale machines over $\mathbb{R}$
292,SmaleNinth_RealRAM,1.5333,3,Pointer machines over $\mathbb{R}$ (real RAM)
293,MSKleene_Recognizable,1.5237,10,Recognizable and $s$-recognizable languages
294,Erdos9796Counting_SignedAreaOangle,1.5232,4,Counting transfer definition Erdos9796Counting_SignedAreaOangle
295,sgl_casc_loop,1.5200,2,
296,Geometry_AlmostLosslessDecoder,1.5179,2,Aether Catalog definitions — Geometry_AlmostLosslessDecoder
297,Thurston23_picard,1.5033,5,"The Picard group $\mathrm{SL}_2(\mathbb{Z}[i])$, its congruence subgroup $\Gamma(2+i)$, the half box, and the effective Picard group"
298,BertsekasSPGraph,1.5000,2,"Shortest path graphs, walks, and distances"
299,Esgk_PlanarGeneralPosition,1.5000,1,Planar general position and distinct Euclidean distances
300,GT_DrinfeldKohno,1.5000,1,Drinfeld-Kohno Lie algebra $\mathfrak t_n$
301,Gelbart_hecke_series,1.5000,1,"Hecke data: growth condition, $f(z)$ and $\Phi(s)$"
302,HodgeConjecture,1.5000,1,"Projective non-singular varieties over $\mathbb{C}$, de Rham cohomology, $(p,q)$-types, rational classes, Hodge classes and cycle classes $\mathrm{cl}(Z)$ (Deligne §1)"
303,LinearOptimization_LogBarrier_CentralPath,1.5000,1,Logarithmic barrier and the central path
304,SpecActions_model,1.5000,2,Speculative actions: the cost--latency model
305,frame_2026_kam_interfaces,1.5000,2,Shell-analytic suspended Hamiltonian interfaces for corrected resonant KAM persistence
306,mm_countable,1.5000,2,Markov chains on countable state spaces
307,usg_lattice_model,1.5000,1,Translationally invariant nearest-neighbour Hamiltonians on a 2D square lattice
308,PositiveDefiniteKernel,1.4797,5,Positive-definite kernel (Bochner-correct) and its Fourier transform
309,ShiOptrates_Cost,1.4500,5,"Oracle cost models: $\mathrm{CostModel}$, its power law, and the classical/quantum instances"
310,ShiOptrates_FunctionClass,1.4500,5,Function classes: the quadratic upper bound $\mathrm{QuadUpper}$ and the Polyak--\L{}ojasiewicz condition
311,mme_recursive_yz_hash_filter,1.4423,2,Actual recursive Y/Z hole sets and usable copies
312,BunkbedSubstituted,1.4199,6,The substituted graph of Theorem 1.2
313,LinearOptimization_IntegerProgram,1.4055,2,Mixed integer programming problem
314,euclidean_building_directions,1.3949,10,Euclidean buildings with their direction structure (Kleiner--Leeb EB1--EB4)
315,BraidsLinksMCG_ArtinEndo,1.3929,1,"Artin's automorphisms of the free group, equation (1-14)"
316,markov_entanglement_rmab,1.3909,1,"Restless multi-armed bandits, index policies and the mean-field limit"
317,mme_duality,1.3821,4,
318,Freiman_upperModel,1.3771,13,Freiman's upper-ray deletion trees and padded central models
319,FiniteMDPLearning,1.3684,6,
320,BunkbedTransferTables,1.3673,2,Transfer-matrix weight tables for Hollom's hypergraph
321,Chou_Classes,1.3641,17,"Chou's classes: constructible groups, locally finite groups, $NF$, packings and property (P)"
322,mme_dwz_hole_cover_data,1.3549,2,DWZ standard-form Hole Lemma: available-block interface
323,ConvexOptimization_selfConcordance,1.3409,4,Self-concordance and the domain-confined damped Newton iteration
324,eulerMascheroni_formalESystem,1.3295,7,Formal E-function system for the Euler–Gompertz relation
325,CappedBaseStock_Window,1.3214,2,Independent finite-window inventory inputs
326,asymptoticUcbPolicy,1.3064,4,
327,BFFPyramidal_pyramidal,1.2917,4,Pyramidal groups
